"time","IC-soma","MSO_ON-soma","MSO_OFF-soma"
13.9,-64.6854945469,-54.8911143172,-54.8911143172
13.95,-64.6886084619,-54.8910730969,-54.8910730969
14.0,-64.6916915461,-54.8910324792,-54.8910324792
14.05,-64.6947441047,-54.890992455,-54.890992455
14.1,-64.6977664399,-54.8909530153,-54.8909530153
14.15,-64.700758851,-54.8909141514,-54.8909141514
14.2,-64.7037216343,-54.8908758547,-54.8908758547
14.25,-64.7066550831,-54.8908381166,-54.8908381166
14.3,-64.7095594879,-54.8908009288,-54.8908009288
14.35,-64.7124351361,-54.8907642831,-54.8907642831
14.4,-64.7152823126,-54.8907281714,-54.8907281714
14.45,-64.7181012993,-54.8906925859,-54.8906925859
14.5,-64.7208923751,-54.8906575186,-54.8906575186
14.55,-64.7236558166,-54.8906229618,-54.8906229618
14.6,-64.7263918973,-54.8905889081,-54.8905889081
14.65,-64.729100888,-54.8905553499,-54.8905553499
14.7,-64.7317830571,-54.89052228,-54.89052228
14.75,-64.73443867,-54.8904896911,-54.8904896911
14.8,-64.7370679898,-54.8904575762,-54.8904575762
14.85,-64.7396712766,-54.8904259282,-54.8904259282
14.9,-64.7422487884,-54.8903947404,-54.8903947404
14.95,-64.7448007802,-54.8903640058,-54.8903640058
15.0,-64.7473275048,-54.8903337179,-54.8903337179
15.05,-64.7498292123,-54.8903038701,-54.8903038701
15.1,-64.7523061505,-54.890274456,-54.890274456
15.15,-64.7547585645,-54.8902454691,-54.8902454691
15.2,-64.7571866972,-54.8902169033,-54.8902169033
15.25,-64.7595907889,-54.8901887524,-54.8901887524
15.3,-64.7619710778,-54.8901610103,-54.8901610103
15.35,-64.7643277994,-54.8901336711,-54.8901336711
15.4,-64.7666611872,-54.8901067288,-54.8901067288
15.45,-64.7689714721,-54.8900801777,-54.8900801777
15.5,-64.7712588829,-54.890054012,-54.890054012
15.55,-64.7735236461,-54.8900282262,-54.8900282262
15.6,-64.7757659859,-54.8900028147,-54.8900028147
15.65,-64.7779861243,-54.8899777721,-54.8899777721
15.7,-64.7801842812,-54.889953093,-54.889953093
15.75,-64.7823606741,-54.889928772,-54.889928772
15.8,-64.7845155185,-54.8899048041,-54.8899048041
15.85,-64.7866490279,-54.8898811841,-54.8898811841
15.9,-64.7887614134,-54.8898579068,-54.8898579068
15.95,-64.7908528842,-54.8898349674,-54.8898349674
16.0,-64.7929236474,-54.8898123609,-54.8898123609
16.05,-64.794973908,-54.8897900825,-54.8897900825
16.1,-64.7970038689,-54.8897681274,-54.8897681274
16.15,-64.7990137313,-54.889746491,-54.889746491
16.2,-64.801003694,-54.8897251686,-54.8897251686
16.25,-64.8029739541,-54.8897041556,-54.8897041556
16.3,-64.8049247067,-54.8896834477,-54.8896834477
16.35,-64.8068561449,-54.8896630403,-54.8896630403
16.4,-64.80876846,-54.8896429291,-54.8896429291
16.45,-64.8106618412,-54.8896231098,-54.8896231098
16.5,-64.8125364761,-54.8896035782,-54.8896035782
16.55,-64.8143925502,-54.8895843301,-54.8895843301
16.6,-64.8162302474,-54.8895653615,-54.8895653615
16.65,-64.8180497496,-54.8895466682,-54.8895466682
16.7,-64.8198512369,-54.8895282463,-54.8895282463
16.75,-64.8216348877,-54.8895100918,-54.8895100918
16.8,-64.8234008785,-54.8894922009,-54.8894922009
16.85,-64.8251493844,-54.8894745698,-54.8894745698
16.9,-64.8268805782,-54.8894571947,-54.8894571947
16.95,-64.8285946316,-54.8894400719,-54.8894400719
17.0,-64.8302917141,-54.8894231978,-54.8894231978
17.05,-64.8319719938,-54.8894065687,-54.8894065687
17.1,-64.8336356371,-54.8893901811,-54.8893901811
17.15,-64.8352828087,-54.8893740315,-54.8893740315
17.2,-64.8369136716,-54.8893581165,-54.8893581165
17.25,-64.8385283874,-54.8893424327,-54.8893424327
17.3,-64.8401271159,-54.8893269767,-54.8893269767
17.35,-64.8417100154,-54.8893117453,-54.8893117453
17.4,-64.8432772427,-54.8892967351,-54.8892967351
17.45,-64.8448289528,-54.889281943,-54.889281943
17.5,-64.8463652995,-54.8892673659,-54.8892673659
17.55,-64.8478864348,-54.8892530006,-54.8892530006
17.6,-64.8493925094,-54.889238844,-54.889238844
17.65,-64.8508836723,-54.8892248932,-54.8892248932
17.7,-64.8523600713,-54.8892111451,-54.8892111451
17.75,-64.8538218524,-54.8891975969,-54.8891975969
17.8,-64.8552691605,-54.8891842456,-54.8891842456
17.85,-64.8567021387,-54.8891710884,-54.8891710884
17.9,-64.8581209291,-54.8891581224,-54.8891581224
17.95,-64.8595256721,-54.889145345,-54.889145345
18.0,-64.8609165067,-54.8891327534,-54.8891327534
18.05,-64.8622935706,-54.8891203448,-54.8891203448
18.1,-64.8636570003,-54.8891081167,-54.8891081167
18.15,-64.8650069307,-54.8890960664,-54.8890960664
18.2,-64.8663434954,-54.8890841914,-54.8890841914
18.25,-64.8676668268,-54.8890724891,-54.8890724891
18.3,-64.8689770559,-54.889060957,-54.889060957
18.35,-64.8702743124,-54.8890495927,-54.8890495927
18.4,-64.8715587249,-54.8890383937,-54.8890383937
18.45,-64.8728304203,-54.8890273576,-54.8890273576
18.5,-64.8740895248,-54.8890164821,-54.8890164821
18.55,-64.8753361628,-54.8890057649,-54.8890057649
18.6,-64.8765704579,-54.8889952036,-54.8889952036
18.65,-64.8777925322,-54.888984796,-54.888984796
18.7,-64.8790025068,-54.8889745398,-54.8889745398
