"time","AMPA","NMDA","GABAa"
53.45,0.000137537303652,0.000240826157163,1.14334511066e-05
53.5,0.000136236766468,0.000240325341789,1.13310177392e-05
53.55,0.000134948493414,0.000239817629829,1.12294908518e-05
53.6,0.000133672369191,0.000239303126833,1.11288716552e-05
53.65,0.00013240827958,0.000238781941014,1.10291573035e-05
53.7,0.000131156111432,0.000238254660929,1.09303254776e-05
53.75,0.000129915752657,0.000237723390346,1.0832375451e-05
53.8,0.000128687092218,0.000237185841403,1.07353266187e-05
53.85,0.000127470657154,0.00023664213143,1.06391580009e-05
53.9,0.000126265688783,0.000236092385366,1.05438403109e-05
53.95,0.000125072079348,0.000235536842693,1.04493875216e-05
54.0,0.0001238897221,0.000234978925973,1.03557704727e-05
54.05,0.000122718511293,0.000234415419938,1.02629818842e-05
54.1,0.000121558342168,0.000233846440389,1.01710228625e-05
54.15,0.000120409110949,0.000233272115686,1.00798908069e-05
54.2,0.000119270714832,0.000232693317496,9.98956531918e-06
54.25,0.000118143051974,0.000232112049625,9.90004573526e-06
54.3,0.000117026021488,0.000231525885144,9.81134978087e-06
54.35,0.000115919523433,0.000230934954025,9.72345828205e-06
54.4,0.0001148234588,0.000230339387112,9.63634447268e-06
54.45,0.000113737729513,0.000229741678815,9.55002112297e-06
54.5,0.000112662238409,0.00022914115894,9.46446158254e-06
54.55,0.000111596889241,0.000228536452923,9.37965919786e-06
54.6,0.000110541586659,0.000227927691265,9.29561498017e-06
54.65,0.000109496236209,0.000227315939693,9.21232655257e-06
54.7,0.000108460744321,0.000226703113991,9.1297752725e-06
54.75,0.000107435018303,0.00022608667112,9.04796053307e-06
54.8,0.00010641896633,0.000225466737609,8.96689853434e-06
54.85,0.000105413024243,0.000224843488692,8.88657175265e-06
54.9,0.000104416564643,0.000224220706949,8.8069557256e-06
54.95,0.000103429498418,0.000223594866509,8.72806212428e-06
55.0,0.000102451737293,0.000222966079562,8.64986659209e-06
55.05,0.000101483193818,0.000222334465422,8.57236304814e-06
55.1,0.000100523781363,0.000221703524997,8.49555241665e-06
55.15,9.95734141093e-05,0.000221070511421,8.4194325253e-06
55.2,9.86320070419e-05,0.000220435062855,8.34398633606e-06
55.25,9.76994759417e-05,0.000219797290771,8.26921329427e-06
55.3,9.6775737379e-05,0.000219160604173,8.19512820569e-06
55.35,9.58607087051e-05,0.000218522493593,8.1217150549e-06
55.4,9.4954308046e-05,0.000217882422648,8.04895148492e-06
