"time","IC-soma","MSO_ON-soma","MSO_OFF-soma"
43.5,-53.6231652987,-54.8883851667,-54.8886181967
43.55,-53.6680837931,-54.8883836584,-54.8886132262
43.6,-53.7129012355,-54.8883821721,-54.8886083315
43.65,-53.7576165583,-54.8883807075,-54.8886035111
43.7,-53.8022287159,-54.8883792644,-54.888598764
43.75,-53.8467350372,-54.8883778423,-54.8885940888
43.8,-53.8911353327,-54.8883764411,-54.8885894845
43.85,-53.9354284178,-54.8883750603,-54.8885849497
43.9,-53.9796133618,-54.8883736998,-54.8885804835
43.95,-54.0236892335,-54.8883723591,-54.8885760847
44.0,-54.067653456,-54.888371038,-54.8885717522
44.05,-54.1115059486,-54.8883697363,-54.8885674849
44.1,-54.1552458801,-54.8883684535,-54.8885632818
44.15,-54.198872416,-54.8883671895,-54.8885591418
44.2,-54.2423847402,-54.888365944,-54.8885550639
44.25,-54.2857804409,-54.8883647167,-54.8885510472
44.3,-54.3290595479,-54.8883635073,-54.8885470906
44.35,-54.3722213123,-54.8883623156,-54.8885431933
44.4,-54.4152650129,-54.8883611414,-54.8885393542
44.45,-54.458189927,-54.8883599843,-54.8885355724
44.5,-54.5009938427,-54.8883588441,-54.8885318471
44.55,-54.5436767805,-54.8883577205,-54.8885281773
44.6,-54.5862380781,-54.8883566134,-54.8885245622
44.65,-54.6286770974,-54.8883555224,-54.888521001
44.7,-54.6709932164,-54.8883544474,-54.8885174927
44.75,-54.7131844655,-54.8883533882,-54.8885140366
44.8,-54.7552508412,-54.8883523443,-54.8885106318
44.85,-54.797191599,-54.8883513158,-54.8885072776
44.9,-54.8390062051,-54.8883503023,-54.8885039732
44.95,-54.8806941238,-54.8883493035,-54.8885007177
45.0,-54.9222536895,-54.8883483194,-54.8884975106
45.05,-54.9636847926,-54.8883473497,-54.8884943509
45.1,-55.0049869749,-54.8883463941,-54.888491238
45.15,-55.0461597739,-54.8883454525,-54.8884881711
45.2,-55.0872027406,-54.8883445246,-54.8884851496
45.25,-55.1281145535,-54.8883436103,-54.8884821728
45.3,-55.1688949283,-54.8883427094,-54.8884792399
45.35,-55.2095434681,-54.8883418216,-54.8884763504
45.4,-55.2500597965,-54.8883409468,-54.8884735035
45.45,-55.2904435353,-54.8883400848,-54.8884706986
45.5,-55.3306943252,-54.8883392354,-54.888467935
45.55,-55.3708104651,-54.8883383984,-54.8884652122
45.6,-55.4107922145,-54.8883375736,-54.8884625296
45.65,-55.4506392601,-54.8883367609,-54.8884598864
45.7,-55.4903513,-54.88833596,-54.8884572822
45.75,-55.5299280459,-54.8883351709,-54.8884547163
45.8,-55.5693683132,-54.8883343933,-54.8884521882
45.85,-55.608671876,-54.888333627,-54.8884496972
45.9,-55.6478385009,-54.8883328719,-54.8884472429
45.95,-55.6868679519,-54.8883321279,-54.8884448247
46.0,-55.7257600125,-54.8883313948,-54.888442442
46.05,-55.7645144611,-54.8883306723,-54.8884400943
46.1,-55.8031299256,-54.8883299604,-54.8884377811
46.15,-55.8416066761,-54.888329259,-54.8884355019
46.2,-55.8799445432,-54.8883285677,-54.8884332562
46.25,-55.9181433692,-54.8883278866,-54.8884310434
46.3,-55.9562030004,-54.8883272154,-54.8884288631
46.35,-55.9941232991,-54.8883265541,-54.8884267147
46.4,-56.0319028449,-54.8883259024,-54.8884245979
46.45,-56.0695421435,-54.8883252602,-54.8884225122
46.5,-56.107041096,-54.8883246274,-54.888420457
46.55,-56.1443996053,-54.8883240039,-54.888418432
46.6,-56.1816176007,-54.8883233894,-54.8884164366
46.65,-56.2186943128,-54.888322784,-54.8884144705
46.7,-56.2556297123,-54.8883221874,-54.8884125332
46.75,-56.2924237512,-54.8883215995,-54.8884106243
46.8,-56.3290763847,-54.8883210202,-54.8884087433
46.85,-56.365587454,-54.8883204494,-54.8884068899
46.9,-56.4019569458,-54.8883198869,-54.8884050637
46.95,-56.4381841623,-54.8883193326,-54.8884032641
47.0,-56.4742691453,-54.8883187865,-54.888401491
47.05,-56.510211866,-54.8883182483,-54.8883997438
47.1,-56.5460123443,-54.888317718,-54.8883980221
47.15,-56.5816706077,-54.8883171954,-54.8883963257
47.2,-56.6171866908,-54.8883166805,-54.8883946541
47.25,-56.6525606366,-54.8883161731,-54.8883930069
47.3,-56.6877912884,-54.8883156731,-54.8883913839
47.35,-56.7228792944,-54.8883151805,-54.8883897846
47.4,-56.7578247327,-54.888314695,-54.8883882087
47.45,-56.7926276778,-54.8883142166,-54.8883866559
47.5,-56.8272882176,-54.8883137452,-54.8883851257
47.55,-56.8618064405,-54.8883132807,-54.888383618
47.6,-56.8961814261,-54.888312823,-54.8883821323
47.65,-56.9304136682,-54.888312372,-54.8883806683
47.7,-56.964503286,-54.8883119276,-54.8883792257
47.75,-56.9984504061,-54.8883114897,-54.8883778043
47.8,-57.032255157,-54.8883110582,-54.8883764036
47.85,-57.0659175705,-54.888310633,-54.8883750234
47.9,-57.0994371086,-54.888310214,-54.8883736634
47.95,-57.1328140324,-54.8883098011,-54.8883723232
48.0,-57.1660485103,-54.8883093943,-54.8883710027
48.05,-57.1991407105,-54.8883089934,-54.8883697014
48.1,-57.2320908195,-54.8883085984,-54.8883684192
48.15,-57.2648990196,-54.8883082091,-54.8883671557
48.2,-57.2975654979,-54.8883078256,-54.8883659107
48.25,-57.3300895766,-54.8883074476,-54.8883646839
48.3,-57.362471766,-54.8883070752,-54.888363475
48.35,-57.3947122773,-54.8883067082,-54.8883622838
48.4,-57.4268113307,-54.8883063466,-54.88836111
48.45,-57.4587691434,-54.8883059903,-54.8883599533
48.5,-57.4905859421,-54.8883056392,-54.8883588135
48.55,-57.5222619326,-54.8883052932,-54.8883576905
48.6,-57.553796403,-54.8883049523,-54.8883565838
48.65,-57.5851899877,-54.8883046163,-54.8883554933
48.7,-57.6164429371,-54.8883042853,-54.8883544187
48.75,-57.6475555069,-54.8883039591,-54.8883533598
48.8,-57.6785279535,-54.8883036377,-54.8883523164
48.85,-57.7093604517,-54.888303321,-54.8883512883
48.9,-57.7400532759,-54.8883030089,-54.8883502751
48.95,-57.7706058289,-54.8883027014,-54.8883492768
49.0,-57.8010187447,-54.8883023983,-54.8883482931
49.05,-57.8312923094,-54.8883020997,-54.8883473237
49.1,-57.8614267991,-54.8883018055,-54.8883463685
49.15,-57.8914224901,-54.8883015156,-54.8883454273
49.2,-57.9212796823,-54.8883012299,-54.8883444998
49.25,-57.9509986798,-54.8883009484,-54.8883435859
49.3,-57.9805790957,-54.888300671,-54.8883426853
49.35,-58.010021437,-54.8883003977,-54.8883417979
49.4,-58.0393260283,-54.8883001283,-54.8883409234
49.45,-58.0684931908,-54.8882998629,-54.8883400618
49.5,-58.0975232532,-54.8882996014,-54.8883392127
49.55,-58.1264165431,-54.8882993437,-54.888338376
49.6,-58.1551734006,-54.8882990898,-54.8883375516
49.65,-58.1837941615,-54.8882988396,-54.8883367392
49.7,-58.2122782799,-54.888298593,-54.8883359386
49.75,-58.2406265108,-54.8882983501,-54.8883351498
49.8,-58.2688392029,-54.8882981107,-54.8883343725
49.85,-58.2969166358,-54.8882978748,-54.8883336065
